name,detail_url,listing_address,listing_languages,map_url,listing_website,services,regular_staff_languages,casual_volunteer_languages,reduced_mobility_access,daycare,contact_hours,phone,email,website,address,holiday_period,territory_covered,administrative_region,municipality,source_last_updated
Action Famille Lavaltrie Inc.,https://www.quebec.ca/en/immigration/partners/13/action-famille-lavaltrie-inc,"1725, rue Notre-Dame Lavaltrie (Lanaudière) J5T 1S2 Tel. : 450 586-0733 Fax : 450-586-6652","Français, Anglais, Espagnol, Créole","https://www.google.com/maps/place/1725+Rue+Notre-Dame,+Lavaltrie,+QC+J5T+1S2/@45.8895066,-73.2756909,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8ed59e35b9ff7:0x3393826508eacfc0!8m2!3d45.8895066!4d-73.2735021",https://www.actionfamillelavaltrie.org.,"Accueil, installation, intégration, renseignement et référence | Jumelage interculturel | Intervenant communautaire interculturel (ICI)","Français, Anglais, Espagnol, Créole","Français, Anglais, Arabe, Espagnol, Créole",No,Available on site,"Du lundi au vendredi de 9 h à 16 h. L'organisme est disponible à offrir des services les fins de semaine ou les soirs, selon le besoin et la disponibilité de la clientèle cible.",450-586-0733,actionfamillelavaltrie@bellnet.ca,http://www.actionfamillelavaltrie.org.,"1725, rue Notre-Dame Lavaltrie (Québec) J5T 1S2 Voir sur la carte",Bureau fermé 2 semaines durant la période de Noël et du jour de l'An,Les municipalités de la MRC D'Autry,Lanaudière,Lavaltrie,"June 10, 2025"
"Agora Boréale, Association Interculturelle de Lebel-Sur-Quévillon",https://www.quebec.ca/en/immigration/partners/16/agora-boreale-association-interculturelle-de-lebel-sur-quevillon,"60, Place Quévillon Lebel-sur-Quévillon (Nord-du-Québec) J0Y 1X0 Tel. : 819 755-7550","Français, Anglais, Espagnol, Créole","https://www.google.com/maps/place/60+Pl.+Quevillon,+Lebel-sur-Qu%C3%A9villon,+QC+J0Y+1X0/@49.0528189,-76.9807341,441m/data=!3m2!1e3!4b1!4m6!3m5!1s0x4cdfc3f2505a4afd:0x1b23f09377744797!8m2!3d49.0528189!4d-76.9781592!16s%2Fg%2F11lclvmmy9?entry=ttu&g_ep=EgoyMDI1MDkyNC4wIKXMDSoASAFQAw%3D%3D",https://fr-ca.facebook.com/agoraboreale/,"Accueil, installation, intégration, renseignement et référence | Jumelage interculturel","Français, Anglais, Espagnol, Créole","Arabe, Russe, Tagalog, Anglais",Yes,,Du lundi au vendredi de 8 h 30 à 12 h et de 13 h à 16 h 30.,819-755-7550,agora.boreale@gmail.com,https://fr-ca.facebook.com/agoraboreale/,"60, Place Quévillon Lebel-sur-Quévillon (Québec) J0Y 1X0 Voir sur la carte",Bureau fermé 2 semaines durant la période de Noël et du jour de l'An,Lebel-sur-Quévillon,Nord-du-Québec,Lebel-sur-Quévillon,"June 10, 2025"
ALAC (Alliance pour L'Accueil et l'Intégration des Immigrants-es),https://www.quebec.ca/en/immigration/partners/17/alac-alliance-pour-laccueil-et-lintegration-des-immigrants-es,"350-5165, chemin Queen-Mary Montréal (Montréal) H3W 1X7 Tel. : 514 737-3642 Fax : 514 737-3514","Français, Anglais, Espagnol, Arabe","http://maps.google.ca/maps?q=5165, chemin Queen-Mary, bureau 350 Montréal, Québec H3W1X7",https://www.alac.qc.ca,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration | Jumelage interculturel | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais, Espagnol, Arabe","Français, Anglais, Espagnol, Arabe",,,"Lundi de 9 h à 12 h et de 13 h à 21 h, mardi, mercredi, jeudi et vendredi de 9 h à 12 h, de 13 h à 16 h 30 et de 17 h à 21 h.",514-737-3642,info@alac.qc.ca,http://www.alac.qc.ca,"350-5165, chemin Queen-Mary Montréal (Québec) H3W 1X7 Voir sur la carte",Bureau fermé pendant la période des fêtes,Côte-des-Neiges; Notre-Dame-de-Grâce,Montréal,Montréal,"June 10, 2025"
Alliance Carrière Travail (ACT) (Brossard),https://www.quebec.ca/en/immigration/partners/183/alliance-carriere-travail-act-brossard,7845 boul. Taschereau Brossard (Montérégie) J4Y 1A4 Tel. : 450 462-2003 Fax : 450 462-3733,"Français, Anglais, Arabe, Espagnol, Roumain, Polonais, Créole",https://maps.app.goo.gl/9saRssoAFgFufLCj9,https://www.alliancect.ca,Session Objectif intégration,"Français, Anglais, Arabe, Espagnol, Roumain, Polonais, Créole",Français uniquement,Yes,,"Du lundi au jeudi de 8 h 30 à 12 h et de 13 h à 16 h 30, le vendredi de 8 h 30 à 12 h. Des rencontres en soirée sont offertes selon les besoins de la clientèle.",450-462-2003,info@alliancect.ca,http://www.alliancect.ca,7845 boul. Taschereau Brossard (Québec) J4Y 1A4 Voir sur la carte,Bureau fermé 2 semaines durant la période des fêtes,"Agglomération de Longueuil (Longueuil, Saint Lambert, Brossard, Saint-Bruno-de-Montarville et Boucherville)",Montérégie,Brossard,"June 10, 2025"
Alliance Carrière Travail (ACT) (Châteauguay),https://www.quebec.ca/en/immigration/partners/180/alliance-carriere-travail-act-chateauguay,265 boulevard d’Anjou Châteauguay (Montérégie) J6J 5J9 Tel. : 450 699-4545 Fax : 450 462-3733,"Français, Anglais, Arabe, Espagnol, Roumain, Polonais, Créole",https://maps.app.goo.gl/5QN5wwG4evkbj9qdA,https://www.alliancect.ca,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration","Français, Anglais, Arabe, Espagnol, Roumain, Polonais, Créole",ND (pas de bénévoles ni personnel occasionnel),,,"Le lundi et mardi de 8 h 30 à 12 h et de 13 h à 16 h 30, le mercredi de 10 h 30 à 12 h et de 13 h à 16 h 30 et le jeudi et vendredi de 8 h 30 à 12 h. Des rencontres en soirée sont offertes selon les besoins de la clientèle.",450-699-4545,info@alliancect.ca,http://www.alliancect.ca,265 boulevard d’Anjou Châteauguay (Québec) J6J 5J9 Voir sur la carte,Bureau fermé 2 semaines durant la période des fêtes,"Les municipalités de la MRC Roussillon (Châteauguay, Saint-Isidore, SainteMartine, Mercier et Léry.); MRC Jardins-de-Napierville (Saint-Rémi, Hemmingford, Canton, Napierville, Saint-Bernard-de-Lacolle, SainteClothilde, Saint-Cyprien-de-Napierville, Saint-Édouard)",Montérégie,Châteauguay,"June 10, 2025"
Alliance Carrière Travail (ACT) (Longueuil),https://www.quebec.ca/en/immigration/partners/179/alliance-carriere-travail-act-longueuil,"13, rue Saint-Laurent Est Longueuil (Montérégie) J4H 4B7 Tel. : 450 462-2003 Fax : 450 462-3733","Français, Anglais, Arabe, Espagnol, Roumain, Polonais, Créole",https://maps.app.goo.gl/SagAjNKxApQvqJk56,https://www.alliancect.ca,Session Objectif intégration,"Français, Anglais, Arabe, Espagnol, Roumain, Polonais, Créole",ND (pas de bénévoles ni personnel occasionnel),,,"Du lundi au jeudi de 8 h 30 à 12 h et de 13 h à 16 h 30, le vendredi de 8 h 30 à 12 h. Des rencontres en soirée sont offertes selon les besoins de la clientèle.",450-462-2003,info@alliancect.ca,http://www.alliancect.ca,"13, rue Saint-Laurent Est Longueuil (Québec) J4H 4B7 Voir sur la carte",Bureau fermé 2 semaines durant la période des fêtes,"Agglomération de Longueuil (Longueuil, Saint Lambert, Brossard, Saint-Bruno-de-Montarville et Boucherville)",Montérégie,Longueuil,"June 10, 2025"
Alliance Carrière Travail (ACT) (Longueuil),https://www.quebec.ca/en/immigration/partners/218/alliance-carriere-travail-act-longueuil,"840, rue Notre-Dame Saint-Rémi (Montérégie) J0L 2L0 Tel. : 450 977-0223 Fax : 450 462-3733","Français, Anglais, Arabe, Espagnol, Roumain, Polonais, Créole","https://www.google.ca/maps/place/840+R.+Notre+Dame,+Saint-R%C3%A9mi,+QC+J0L+2L0/@45.2588939,-73.6207619,16z/data=!3m1!4b1!4m6!3m5!1s0x4cc97218e8a5eba3:0x831895031873265!8m2!3d45.2588939!4d-73.618187!16s%2Fg%2F11c4wmssks?entry=ttu&g_ep=EgoyMDI1MDkyMy4wIKXMDSoASAFQAw%3D%3D",https://www.alliancect.ca,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration","Français, Anglais, Arabe, Espagnol, Roumain, Polonais, Créole",ND (pas de bénévoles ni personnel occasionnel),,,"Lundi, mercredi et vendredi : sur rendez-vous, mardi et jeudi de 8 h 30 à 12 h et de 13 h à 16 h 30.",450-977-0223,info@alliancect.ca,http://www.alliancect.ca,"840, rue Notre-Dame Saint-Rémi (Québec) J0L 2L0 Voir sur la carte",Bureau fermé 2 semaines pendant le temps des fêtes,Hemmingford; St-Cyprien-de-Napierville; SaintMichel; Saint-Clotilde; Napierville; Saint-Édouard; Saint-Patrice-de-Sherrington; Saint-Bernard-de Lacolle; Saint-Jacques-le-Mineur; Saint-Rémi,Montérégie,Saint-Rémi,"June 10, 2025"
AMINATE Accueil Multiethnique et Intégration de Nouveaux Arrivants à Terrebonne et les Environs,https://www.quebec.ca/en/immigration/partners/1/aminate-accueil-multiethnique-et-integration-de-nouveaux-arrivants-a-terrebonne-et-les-environs,"500, boulevard des Seigneurs Terrebonne (Lanaudière) J6W 1T3 Tel. : 450 492-7989 Fax : 450 492-1303","Français, Anglais, Arabe, Espagnol, Créole, Wolof, Kabyle","https://www.google.ca/maps/place/500+Boulevard+des+Seigneurs,+Terrebonne,+QC+J6W+1T3/@45.7036425,-73.6353195,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8de68c4748cb9:0x3dfaf4f5260f45f4!8m2!3d45.7036388!4d-73.6331308",https://www.aminate.qc.ca,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration | Espace Parents | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais, Arabe, Espagnol, Créole, Wolof, Kabyle","Français, Anglais, Espagnol",No,Available on site,"Du lundi au vendredi de 8 h 30 à 12 h et de 13 h à 16 h 30, lundi et mercredi de 17 h 30 à 19 h. Samedi de 8 h à 12h et de 13 h à 16 h pour les activités extérieures.",450-492-7989,info@aminate.qc.ca,http://www.aminate.qc.ca,"500, boulevard des Seigneurs Terrebonne (Québec) J6W 1T3 Voir sur la carte",Bureau fermé 2 semaines durant la période de Noël et du jour de l'An et 2 semaine en été pendant les vacances de la construction.,MRC Des Moulins; MRC de Terrebonne; MRC de Mascouche,Lanaudière,Terrebonne,"June 10, 2025"
Bienvenue à Notre-Dame-De-Grâce,https://www.quebec.ca/en/immigration/partners/22/bienvenue-a-notre-dame-de-grace,"6580, rue Sherbrooke Ouest Montréal (Montréal) H4B 1N5 Tel. : 514 561-5850 Fax : 438 927-5850","Français, Anglais, Arabe, Coréen, Espagnol, Ourdou, Tigrinya, Mandarin, Portugais, Russe, Persan, Dari, Ukrainien","https://www.google.com/maps/place/Bienvenue+%C3%A0+Notre-Dame-de-Gr%C3%A2ce/@45.4632815,-73.6294281,793m/data=!3m2!1e3!4b1!4m6!3m5!1s0x4cc910b47d5f0907:0xb262206b0006c37c!8m2!3d45.4632815!4d-73.6294281!16s%2Fg%2F11fxnj7wt1?entry=ttu&g_ep=EgoyMDI2MDQwOC4wIKXMDSoASAFQAw%3D%3D",https://bienvenuendg.ca,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration | Jumelage interculturel | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais, Arabe, Coréen, Espagnol, Ourdou, Tigrinya, Mandarin, Portugais, Russe, Persan, Dari, Ukrainien","Hindi, Kurde, Tamoul",No,Available on site,Du lundi au vendredi de 9 h 30 à 12 h et de 13 h à 16 h 30.,514-561-5850,info@bienvenuendg.ca,https://bienvenuendg.ca,"6580, rue Sherbrooke Ouest Montréal (Québec) H4B 1N5 Voir sur la carte",Bureau fermé durant le temps des fêtes,"Côte-des-Neiges; Notre-Dame-de-Grâce; Le Sud-Ouest; Ville-Marie; Lachine; LaSalle; Côte-Saint-Paul; Hampstead, Montréal Ouest",Montréal,Montréal,"June 10, 2025"
C.O.F.F.R.E.T. Centre de Formation et d'Orientation pour Favoriser les Relations Ethniques Traditionnelles,https://www.quebec.ca/en/immigration/partners/23/coffret-centre-de-formation-et-dorientation-pour-favoriser-les-relations-ethniques-traditionnelles,"181, rue Brière Saint-Jérôme (Laurentides) J7Y 3A7 Tel. : 450 565-2998 Fax : 450 565-3577","Français, Anglais, Arabe, Espagnol, Russe, Ukrainien, Swahili, Kirundi, Sango, Kinyarwanda, Népalais, Turc, Kiswahili","https://www.google.com/maps/place/181+Rue+Bri%C3%A8re,+Saint-J%C3%A9r%C3%B4me,+QC+J7Y+3A7/@45.7721876,-74.013137,939m/data=!3m2!1e3!4b1!4m6!3m5!1s0x4ccf2b5fc51fe0cb:0xb940eb2f60b5fd29!8m2!3d45.7721876!4d-74.0105621!16s%2Fg%2F11c5d1b3k_?entry=ttu&g_ep=EgoyMDI1MDkyNC4wIKXMDSoASAFQAw%3D%3D",https://www.lecoffret.ca,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration | Jumelage interculturel | Installation et accompagnement des personnes réfugiées prises en charge par l'État | Personne ayant demandé l'asile (DA) - Recherche de logement | Intervenant communautaire interculturel (ICI) Santé-Scolaire-Petite enfance-Jeunesse | Espace Parents","Français, Anglais, Arabe, Espagnol, Russe, Ukrainien, Swahili, Kirundi, Sango, Kinyarwanda, Népalais, Turc, Kiswahili","Anglais, Arabe, Créole, Espagnol, Lingala, Russe, Swahili, Ukrainien, Albanais, Malien, Turc, Mandarin, Vienamien, Laotien, Russe, Kirundi, Kiyarwanda, Népalais, Kiswahili, Wolof",Yes,Available on site,Du lundi au vendredi de 8 h 30 à 12 h et de 13 h à 16 h 00.,450-565-2998,message@lecoffret.ca,http://www.lecoffret.ca,"181, rue Brière Saint-Jérôme (Québec) J7Y 3A7 Voir sur la carte",Bureau fermé 2 semaines durant la période de Noël et du jour de l'An,MRC de la Rivière-du-Nord; MRC Des Pays d'en Haut; MRC Des Laurentides; MRC d'Argenteuil,Laurentides,Saint-Jérôme,"June 10, 2025"
